Node1	Node2	PMID
fluorouracil	rs140989814	29327356
fluorouracil	rs538336580	29327356
fluorouracil	rs548783838	29327356
fluorouracil	rs575853463	29327356
fluorouracil	rs569661196	29327356
fluorouracil	rs755416212	18600544;32923881
fluorouracil	rs143004875	37946254
fluorouracil	rs4294451	38686795
rs224534	acetaminophen	30908574
rs115346678	aspirin	34061827
rs7089580	warfarin	21270790;24474498;25499099
rs150437414	capecitabine	
roflumilast	rs121909011	38547757
mivacurium	rs1799807	12881446
mivacurium	rs1803274	12881446
mivacurium	rs28933389	12881446
mivacurium	rs28933390	12881446
mivacurium	rs755648929	27031121
rs12777960	adalimumab	25712183
rs12459419	gemtuzumab ozogamicin	23444229
imipramine	rs11188072	19884907
imipramine	rs12248560	19884907
imipramine	rs2011425	15708967
imipramine	rs3892097	18070221
rs56324128	ticagrelor	25935875
rs875858	docetaxel	27143689
rs1125394	cocaine	21150907
rs12094644	duloxetine	29407288
rs2036657	methadone	20514076;35189719
rs2036657	methamphetamine	17233643
axitinib	rs3832043	29682213
axitinib	rs17868323	29682213
axitinib	rs2231142	29682213
axitinib	rs121913459	25686603
axitinib	rs11549465	25816720
axitinib	rs35305980	29682213
rs10934498	irinotecan	27116457
rs10934498	sorafenib	31967518
rs10882526	hydroxychloroquine	35135554
rs57081354	metformin	29650774
rs7551789	aspirin	17496729
rs2429427	calcium channel blockers	24192120
rs77010898	curcumin	27007499
rs77010898	ivacaftor	27007499;27707539
rs2298826	haloperidol	20859245
rs11947402	serotonin	26903268
rs494904	ethanol	32451486
rs6977967	asparaginase	30479191
rs6977967	cyclophosphamide	30479191
rs6977967	cytarabine	30479191
rs6977967	daunorubicin	30479191
rs6977967	hydrocortisone	30479191
rs6977967	methotrexate	30479191
rs6977967	prednisone	30479191
rs6977967	vincristine	30479191
rs2271339	nicotine	30696812
rs1057868	clobazam	24345815
rs1057868	sunitinib	28117434
rs1057868	rivaroxaban	36951964
rs1057868	apixaban	36951964
rs1057868	atorvastatin	25521355
rs1057868	methadone	27286724
rs1057868	midazolam	19801957;23324807
rs1057868	nicotine	24448396
rs1264457	adalimumab	26307125
rs1264457	certolizumab pegol	26307125
rs1264457	etanercept	26307125
rs1264457	methotrexate	26307125
rs1264457	glucocorticoids	26307125
rs1264457	infliximab	26307125
rs61764370	oxaliplatin	26162609
rs61764370	capecitabine	26162609
rs12305038	opioids	31953506
EPHX1 poor metabolizer	acetylcysteine	25999707
rs2164660	quetiapine	23241943
rs671	acetaldehyde	31002879
rs671	naltrexone	34680127
rs671	nitroglycerin	31250045
rs671	heroin	21723677
rs885814	adalimumab	33124499
rs885814	Tumor necrosis factor alpha (TNF-alpha) inhibitors	33124499
rs885814	certolizumab pegol	33124499
rs885814	etanercept	33124499
rs885814	infliximab	33124499
rs12693892	methotrexate	36708065
rs1861647	3,4-methylenedioxymethamphetamine	29198060
rs3762556	methadone	31866536
rifampin	rs1544410	28594304
rifampin	rs2306283	24420746
rifampin	rs4149032	21709081
rifampin	rs11045819	24420746
rifampin	rs1053023	25789467
rifampin	rs11080344	22341855;29036176
rifampin	rs11125883	22341855
rifampin	rs2070401	22341855
rifampin	rs2472677	17925385;30779340
rifampin	rs3814055	11668216
rifampin	rs1800629	22151084;29036176
rifampin	rs1045642	19686464
rifampin	rs4720833	22341855
rifampin	rs1041983	18421452;22506592
rifampin	rs1801280	18421452
rifampin	rs319952	27671213
rifampin	rs10946737	27671213;30720667
rifampin	rs10946739	27671213
rifampin	rs393994	27671213
rifampin	rs320003	27671213
rifampin	rs7958375	27671213
rifampin	rs4646536	28594304
rifampin	rs1803155	38315168;38647526
rs1481012	rosuvastatin	22331829
rs372307932	fluorouracil	29327356
rs7247903	nicotine	
rs909706	haloperidol	19369910
methysergide	rs130060	10208648
rs1529909	losartan	26086348
rs6822844	cyclosporine	26894651
rs6822844	rituximab	23645042
rs6822844	tacrolimus	26894651
rs17301249	adalimumab	33124499
rs17301249	Tumor necrosis factor alpha (TNF-alpha) inhibitors	33124499
rs17301249	certolizumab pegol	33124499
rs17301249	etanercept	33124499
rs17301249	infliximab	33124499
rs61816456	allopurinol	30924126
rs3780412	clozapine	19884611
rs3780412	olanzapine	19884611
rs3780412	risperidone	19884611
pravastatin	rs1801133	18622257
pravastatin	rs1935349	17600820
pravastatin	rs113646094	17047488
pravastatin	rs2276307	17600820
pravastatin	rs4149015	15226675;15864131;16722833
pravastatin	rs8014194	20339536
pravastatin	rs4341	16103896
pravastatin	rs1799752	12695469
pravastatin	rs7412	17289397;19667110;20031551
pravastatin	rs429358	19667110
pravastatin	rs1433099	18261733
pravastatin	rs2738466	18261733
pravastatin	rs16944	14515062
pravastatin	rs428785	18174457
pravastatin	rs11716445	23166513
pravastatin	rs1800591	15136504
pravastatin	rs17244841	18332269; 18815589;15199031
pravastatin	rs20455	18222353;20215968;20403483;20886236
pravastatin	rs17655652	19752398
pravastatin	rs328	16103896
pravastatin	rs2230806	19673941
pravastatin	rs12003906	20031551
pravastatin	rs377474103	30325262
pravastatin	rs35068180	10190398
pravastatin	rs2296651	26744986
rs880054	hydrochlorothiazide	18591455
rs1467558	acetaminophen	24104197
rs2433320	fluoxetine	24040476
rs651630	Tumor necrosis factor alpha (TNF-alpha) inhibitors	26194362
rs2069514	ethanol	33336447
rs2069514	theophylline	12732846;16841220
rs2069514	opioids	36744646
sofosbuvir / velpatasvir	rs12979860	
rs119774	montelukast	16293801
rs265976	clozapine	17092969
nitroprusside	rs1799752	10334805
rs1260326	ethanol	32451486
rs7597593	opioids	33589790
rs1801262	repaglinide	22296034
NAT2 slow acetylator	Drugs For Treatment Of Tuberculosis	24465778
NAT2 slow acetylator	isoniazid	26491254;26616266
rs35112940	gemtuzumab ozogamicin	23444229
rs200707504	sacubitril	28838926
rs200707504	clopidogrel	28838926
rs200707504	enalapril	28838926
rs200707504	oseltamivir	28437488
rs3919583	lithium	29121268
rs13266634	insulin recombinant	25348609
rs13266634	repaglinide	20809084
rs13266634	zinc acetate	25348609
rs680244	Drugs used in nicotine dependence	22648373
rs148235907	fluorouracil	29593529
rs148235907	cyclophosphamide	29593529
rs148235907	epirubicin	29593529
rs9384825	o-desmethyltramadol	30971809
rs9384825	tramadol	30971809
rs701829	dapsone	29233746
rs1801265	Platinum compounds	34525956
rs1801265	Pyrimidine analogues	34525956
rs7973796	olanzapine	17541984
ezetimibe / simvastatin	rs4149056	
rs8068318	atenolol	31327267
rs17189632	nicotine	20084518
ribavirin	rs7512595	19749758
ribavirin	rs1931704	19749758
ribavirin	rs187238	19455410
ribavirin	rs557905	19749758
ribavirin	rs568910	19749758
ribavirin	rs1503391	19749758
ribavirin	rs1792774	19749758
ribavirin	rs1946518	19455410
ribavirin	rs2660	23133602
ribavirin	rs1544410	25713999
ribavirin	rs2228570	24073221;26911666;27139837
ribavirin	rs12819210	21993426
ribavirin	rs11854484	26071337
ribavirin	rs3093390	19749758
ribavirin	rs9939609	25367448
ribavirin	rs1800477	21159314
ribavirin	rs4803217	22328925;25287681;26186989;28638221
ribavirin	rs4803219	19749757;21346780
ribavirin	rs8103142	19684573;19749757;22328925;23281610
ribavirin	rs8105790	19749757;21346780
ribavirin	rs8113007	22328925
ribavirin	rs10853728	21346780
ribavirin	rs11881222	19749757;21346780;22328925;23281610
ribavirin	rs28416813	19684573;19749757;22328925
ribavirin	rs231775	23133602
ribavirin	rs6051702	20173735;25713999;26438033;27833958
ribavirin	rs6806020	19749758
ribavirin	rs760370	20812847
ribavirin	rs2066911	19749758
ribavirin	rs3828913	26075078
ribavirin	rs7750468	19749758
ribavirin	rs1800795	18458677;27812403
ribavirin	rs17461620	19749758
ribavirin	rs10846744	27561198
ribavirin	rs117648444	25534433
ribavirin	rs1049174	28004016
ribavirin	rs10741657	26911666
ribavirin	rs11506105	28703131
beclomethasone	rs242939	18539200
rs10485828	anastrozole	25148458
rs10485828	exemestane	25148458
rs698	cisplatin	24533712
rs698	cyclophosphamide	24533712
rs698	naltrexone	34680127
rs5896	warfarin	14656880;15590403;21320153
rs737866	morphine	19094200
telmisartan	rs5443	26712426
telmisartan	rs60140950	32498119
rs2734849	heroin	25521358
rs886043595	mexiletine	30611854
rs397515874	migalastat	30723321
rs11640115	aspirin	34158603
rs11640115	clopidogrel	34158603
Antihypertensives	rs2230345	18425130;21127457
Antihypertensives	rs12817819	25385345
Antihypertensives	rs3918242	21769110
Antihypertensives	rs1799983	19704415
Antihypertensives	rs2070744	19650939;19704415
Antihypertensives	rs13144136	28222112
Antihypertensives	rs6487504	30237584
Antihypertensives	rs11749255	30237584
Antihypertensives	rs324498	30237584
rs4588	cetuximab	29208668
rs4588	bevacizumab	29208668
bisoprolol	rs1801252	20300048
bisoprolol	rs1137617	23613831
bisoprolol	rs12346562	26425837
bisoprolol	rs2514036	25622599;28353407
rs8192709	S-EDDP	28184434
rs2853209	corticosteroids	36766510
rs2853209	selective beta-2-adrenoreceptor agonists	36766510
rs8124728	stavudine	30273369
rs193922747	desflurane	16163667;17710899;20681998;9066328;9334205;9497245
rs193922747	caffeine	9334205;9497245
rs193922747	enflurane	16163667;17710899;20681998;9066328;9334205;9497245
rs193922747	halothane	16163667;17710899;20681998;9066328;9334205;9497245
rs193922747	isoflurane	16163667;17710899;20681998;9066328;9334205;9497245
rs193922747	methoxyflurane	16163667;17710899;20681998;9066328;9334205;9497245
rs193922747	sevoflurane	16163667;17710899;20681998;9066328;9334205;9497245
rs193922747	succinylcholine	16163667;17710899;20681998;9066328;9334205;9497245
rs2145623	adalimumab	29192552
rs2145623	ustekinumab	27977334
rs2145623	infliximab	29192552
rs1061472	taxanes	26194361
rs1061472	carboplatin	26194361
rs12036333	cytarabine	28570300
rs12036333	idarubicin	28570300
rs7160796	corticosteroids	22366774
exemestane	rs11253043	27111237
exemestane	rs62621365	27111237
exemestane	rs2369049	23546553
exemestane	rs11849538	23546553
exemestane	rs934635	24590773
exemestane	rs6493497	20048079;26536870
exemestane	rs7176005	20048079;24590773
exemestane	rs16964189	24590773
exemestane	rs4550690	25148458
exemestane	rs10485828	25148458
exemestane	rs2813543	26536870
exemestane	rs4870061	26536870
exemestane	rs6901146	25148458
exemestane	rs9322335	26536870
exemestane	rs9322336	23546553
rs9934438	fluindione	21883387
rs9934438	phenprocoumon	16201835;20020283;24224579;30207196
rs928655	Tumor necrosis factor alpha (TNF-alpha) inhibitors	18615156
rs928655	etanercept	28470127
rs8667	asparaginase	30479191
rs8667	cyclophosphamide	30479191
rs8667	cytarabine	30479191
rs8667	daunorubicin	30479191
rs8667	hydrocortisone	30479191
rs8667	methotrexate	30479191
rs8667	prednisone	30479191
rs8667	vincristine	30479191
rs735482	thalidomide	21435719
rs147601618	capecitabine	
rs2498804	carboplatin	20447721
rs2498804	cisplatin	20447721
rs2734833	Selective serotonin reuptake inhibitors	22796099
cyclosporine	rs1800872	18444945
cyclosporine	rs1801133	19005482
cyclosporine	rs2274976	25425682
cyclosporine	rs3737967	25425682
cyclosporine	rs3740065	25425682
cyclosporine	rs7903146	19713311;21857094;23041303
cyclosporine	rs2066844	26107754
cyclosporine	rs4781712	25425682
cyclosporine	rs8058040	25425682
cyclosporine	rs17264736	25425682
cyclosporine	rs1017860	25425682
cyclosporine	rs8090560	25425682
cyclosporine	rs231775	18021981
cyclosporine	rs1042597	20565459
cyclosporine	rs2177735	25425682
cyclosporine	rs17514110	25425682
cyclosporine	rs3787186	25425682
cyclosporine	rs6123048	25425682
cyclosporine	rs1051266	25425682
cyclosporine	rs4818789	25425682
cyclosporine	rs4819128	25425682
cyclosporine	rs2276707	20107201
cyclosporine	rs3814055	20107201
cyclosporine	rs11706052	18444945;19617864;19770842;20679962;21996196;22960765
cyclosporine	rs6822844	26894651
cyclosporine	rs34965641	25425682
cyclosporine	rs1800629	18444945
cyclosporine	rs2275913	30799725
cyclosporine	rs2167270	26282401
cyclosporine	rs2257401	28952408
cyclosporine	rs4646437	25240575;28952408
cyclosporine	rs9282564	26107754
cyclosporine	rs28371759	23557867
cyclosporine	rs35599367	21902502;22388796;24522145;24658827;27653228;29043387;29135906
cyclosporine	rs3894049	28244807
cyclosporine	rs2280055	28244807
cyclosporine	rs10211	28952408
cyclosporine	rs12917707	28418009
cyclosporine	rs12885713	36229649
cyclosporine	rs2874116	36229649
cyclosporine	rs1868402	36229649
iguratimod	rs4244285	29517409
iguratimod	rs2231142	29517409
iguratimod	rs2032582	29517409
iguratimod	rs1495741	29517409
rs1861591	methadone	20560679
rs117308378	capecitabine	28715540
rs145119820	mephenytoin	30745309
rs2857657	risperidone	24495780
rs10802887	allopurinol	30924126
rs3802281	methadone	31940240
rs116561224	hmg coa reductase inhibitors	28043905
rs5906072	fluorouracil	21635146
rs5906072	cisplatin	21635146
rs5906072	mitoxantrone	21635146
rs4848306	Tumor necrosis factor alpha (TNF-alpha) inhibitors	24776844
rs6539870	etoposide	17537913
pegaptanib	rs2010963	23953100
rs10490162	antipsychotics	24633560
rs6686529	sevoflurane	35943164
thioridazine	rs762551	17611010
thioridazine	rs1080985	19604081
lacosamide	rs717620	36253887
lacosamide	rs2273697	36253887
rs80143932	cytarabine	15564883
rs80143932	idarubicin	15564883
rs6138150	Tumor necrosis factor alpha (TNF-alpha) inhibitors	18615156
rs1446468	metoprolol	31327267
rs36120609	olanzapine	23559402
uric acid	rs1002976	29580174
uric acid	rs950569	29580174
uric acid	rs2477134	29580174
rs7124442	citalopram	19236730;22965830
rs2787094	ustekinumab	27977334
rs17751934	Bisphosphonates	22267851
rs1801157	alemtuzumab	27173875
rs1801157	chlorambucil	27173875
rs1801157	cyclophosphamide	27173875
rs1801157	fludarabine	27173875
rs1801157	prednisone	27173875
rs1801157	rituximab	27173875
rs1801157	vincristine	27173875
rs445925	hmg coa reductase inhibitors	25350695
rs1799978	olanzapine	16513877
rs1427407	hydroxyurea	28639471
rs146456965	sacubitril	28838926
rs146456965	clopidogrel	28838926
rs146456965	enalapril	28838926
rs770063251	fluorouracil	26244261
rs3732361	methotrexate	27566582
rs6589386	ethanol	32451486
rs374527058	fluorouracil	29327356
rs6498169	glatiramer acetate	29095108
valganciclovir	rs11568658	27402191
valganciclovir	rs2229109	27402191
rs1870377	lenalidomide	28488026
rs1870377	radiotherapy	25589620
rs1870377	carfilzomib	28488026
rs1870377	dexamethasone	28488026
rs1870377	sorafenib	20630084;25182707
rs4659982	allopurinol	30924126
zonisamide	rs2306719	21278619
zonisamide	rs4984241	21278619
rs8058040	cyclosporine	25425682
rs8058040	methotrexate	25425682
rs2298771	clobazam	21747585;23859570;25155934;28753467
rs2298771	ethosuximide	21747585;23859570;25155934;28753467
rs2298771	lamotrigine	21747585;23859570;25155934;28753467
rs2298771	levetiracetam	21747585;23859570;25155934;28753467
debrisoquine	rs1080985	24279852
rs4643786	ara-CTP	30088438
rs4643786	cytarabine	27548009
rs4643786	daunorubicin	27548009
rs4643786	mitoxantrone	27548009
rs200554095	nicotine	34476898
rs3738514	platinum	26358256
rs111364296	atorvastatin	30325262
rs8192725	tegafur	21521021
rs3735814	acenocoumarol	23215884
rs4769060	gemcitabine	24225399
rs3869066	carbamazepine	26490229
rs1934341	allopurinol	30924126
Arsenic compounds	rs234709	20670920
Arsenic compounds	rs4920037	20670920
rs147451859	zoledronate	31371054
rs147451859	FEC100	31371054
rs147451859	docetaxel	31371054
rs147451859	gemcitabine	31371054
rs147451859	trastuzumab	31371054
pyrimethamine	rs1050828	19112496;20194698
rs3738046	carbamazepine	25495409
rs4825476	citalopram	17898344
rs7984870	anastrozole	26218592
rs7984870	letrozole	26218592
rs367543000	venlafaxine	23799451
melphalan	rs4240803	24704384
melphalan	rs967591	21046104
melphalan	rs4572514	21046104
melphalan	rs4553808	21228734
rs11960832	olanzapine	23886675
rs6473797	heroin	18518925
sotalol	rs10800397	22682551
sotalol	rs767531	24223155
sotalol	rs2276314	24223155
sotalol	rs1805128	14760488;22100668
rs2120266	methadone	23651024
rs28365062	zidovudine	19628728
rs1353327	Glucarpidase	33788417
rs13233066	aspirin	21086123
rs199472959	quinidine	30175559
rs7142143	asparaginase	23007406
rs7142143	dexamethasone	23007406
rs7142143	methotrexate	23007406
rs57918000	capecitabine	
rs2497538	olanzapine	22967772
rs4149087	misoprostol	26122863
rs138264188	propofol	39218044
rs75527207	nppb	27413118
rs75527207	tezacaftor	28930490
rs75527207	elexacaftor / tezacaftor / ivacaftor	
rs61886492	mercaptopurine	22838948
rs61886492	methotrexate	22838948
rs7260629	nicotine	29232328
sevoflurane	rs1800559	12411788; 20431982; 28259615;11260227;12411788;15201141;16163667
sevoflurane	rs772226819	12411788; 20431982; 28259615;11260227;19825159;22547813
sevoflurane	rs2031920	35943164
sevoflurane	rs3813867	35943164
sevoflurane	rs1806201	35943164
sevoflurane	rs1801086	11575529;12124989;1354642;15448513;16917943;18564801;19346234;19648156;21804810;23558838;25989378
sevoflurane	rs28933396	12059893;12124989;15108991;16163667;16732084;16835904;16917943;17081152;17710899;19513315;19648156;20681998;21965348;25256590;25989378;8220422
sevoflurane	rs28933397	10051009;11668625;12208234;15731587;16163667;16835904;20681998;24433488;9450902;9497245
sevoflurane	rs63749869	14985404;17081152;17226826;23558838;25989378
sevoflurane	rs111888148	16917943;19191329;19191333
sevoflurane	rs112563513	16917943;19191329;19648156;21455645;23558838;23736090;24433488
sevoflurane	rs118192116	8220423
sevoflurane	rs118192122	10051009;10484775;11575529;12059893;12709367;15448513;16163667;16917943;17081152;19191333;19648156;20681998;21455645;23558838;24433488;25960145;26951757;27382027;36601426
sevoflurane	rs118192124	10823104;12059893;14985404;22030266;24433488;25086907
sevoflurane	rs118192161	11575529;12059893;12124989;12151923;12208234;12411788;15448513;15731587;16163667;16732084;16835904;16917943;17122579;18564801;19648156;21455645;21965348;23159934;23558838;25989378;7547049;7889656;8220423;8592342;9334205;9497245
sevoflurane	rs118192162	16163667;16284304;19020143;7829078
sevoflurane	rs118192163	12124989;12208234;12411786;15731587;16732084;16835904;16917943;19648156;21455645;23558838;26951757;9497245
sevoflurane	rs118192167	11063719
sevoflurane	rs118192170	10097181;17081152;25989378
sevoflurane	rs118192172	10051009;10352931;10484775;11448278;11493496;11553045;11575529;11668625;12059893;12124989;12151923;12237752;12411788;12434264;14500992;14985404;1510267;15448513;16163667;16835904;16917943;17081152;17667581;17710899;1774074;18502356;18564801;19191333;19648156;20681998;21455645;24195946;24433488;25268394;25658027;25735680;25960145;25989378;26951757;27382027;27646467;7547049;7586638;7633940;7751854;7762556;8602662;9334205;9389851;9497245;9520251
sevoflurane	rs118192175	10484775;12124989;9497245
sevoflurane	rs118192176	10484775;11575529;11668625;12059893;12411786;12709367;15448513;16163667;16244001;16917943;17710899;19191333;19648156;20681998;21455645;23558838;24433488;25466363;25735680;25989378;9497245
sevoflurane	rs118192177	10484775;11575529;12059893;12208234;12220451;15448513;15731587;16163667;16244001;16835904;16917943;17081152;18564801;19648156;19919814;23558838;24433488;25268394;25735680;25960145;25989378;9497245
sevoflurane	rs118192178	16621918;16732084;16917943;19346234;19685112;26381711;27918309
sevoflurane	rs121918592	10051009;12059893;12124989;12151923;12411788;15731587;16163667;16732084;16917943;17710899;18564801;19648156;20681998;21455645;23558838;24433488;25268394;25960145;29101530;8012359;8825043;8828983;8902717;9106529;9334205;9497245;9543323
sevoflurane	rs121918593	10484775;10700782;10793526;11575529;11668625;12059893;12124989;12151923;12208234;12411786;15448513;15731587;16163667;16732128;16835904;16917943;17081152;18502356;18564801;18945287;19648156;20681998;21455645;21965348;23558838;23628358;24433488;25268394;25735680;25960145;26994242;27382027;27646467;28063098;28326467
sevoflurane	rs121918594	14985404;16732084;16917943;18564801;19648156;22415532;9450902
sevoflurane	rs121918595	10888602;16163667;16917943;18564801;19648156;25960145
sevoflurane	rs193922747	16163667;17710899;20681998;9066328;9334205;9497245
sevoflurane	rs193922753	16163667;16917943;25658027
sevoflurane	rs193922770	16244001;16917943;25658027;25989378;9138151;9334205;9497245
sevoflurane	rs193922772	10051009;10484775;16163667;17710899;19346234;20681998;24433488;25989378;9334205;9389851;9497245
sevoflurane	rs193922802	11525881;15448513;15731587;16163667;16917943;19648156;24433488;25960145;26951757
sevoflurane	rs193922803	12123492;15210166;19648156;23558838;24361844;25256590
sevoflurane	rs193922807	14641996;24433488
sevoflurane	rs193922809	12059893;16163667
sevoflurane	rs193922816	10484775;10612851;12411788;16163667;20681998;24433488;25611019;25989378;29608462
sevoflurane	rs193922818	16621918;16732084;16835904;16917943;17483490;21282829;25960145
sevoflurane	rs193922876	18212565
sevoflurane	rs193922878	11928716;16732084;16917943;18306019;19191329;36601426
sevoflurane	rs1801394	35943164
sevoflurane	rs1128503	28614221
sevoflurane	rs1042718	26771271
sevoflurane	rs193922843	19648156
sevoflurane	rs193922832	19648156
sevoflurane	rs118192168	15731587;19346234;19648156;21455645;21965348;23558838;24433488;25960145;27382027;27663056;28326467;28527222
sevoflurane	rs193922764	12059893;16163667;24433488;25735680
sevoflurane	rs121918596	11389482;27857962
sevoflurane	rs193922748	12709367;24433488
sevoflurane	rs193922762	12883402
sevoflurane	rs193922768	12709367;20681998
sevoflurane	rs144336148	16732084
sevoflurane	rs193922852	37873543
sevoflurane	rs1275988	35943164
sevoflurane	rs192863857	36601426
sevoflurane	rs6686529	35943164
sevoflurane	rs3733784	35943164
sevoflurane	rs279858	35943164
sevoflurane	rs2307116	35943164
rs9332098	warfarin	21326313
rs12903202	Bisphosphonates	22267851
xenobiotics	rs12720461	12920202
xenobiotics	rs75519181	15860653
rs2279020	propofol	28611364
rs11030118	methadone	18182069
misoprostol	rs4149087	26122863
misoprostol	rs11568658	26122863
rs10413455	methylphenidate	29382897
aripiprazole	rs324420	20631561;23799528
aripiprazole	rs6277	18926547
aripiprazole	rs1800497	18855532;18926547
aripiprazole	rs2391191	20471098
aripiprazole	rs489693	22566560
aripiprazole	rs1058164	33586456
aripiprazole	rs1135840	33586456
aripiprazole	rs28371699	33586456
aripiprazole	rs28371702	33586456
aripiprazole	rs4305746	19345712
aripiprazole	rs680055	25150845
aripiprazole	rs1128503	36681895
aripiprazole	rs2032582	28719598
aripiprazole	rs2229109	29443543
aripiprazole	CYP2D6 poor metabolizer	26514968
aripiprazole	rs3888190	28694205
aripiprazole	rs1000940	28694205
aripiprazole	rs155333	
aripiprazole	rs6465938	
rs428785	pravastatin	18174457
sulfonamides, urea derivatives	rs7903146	17519421;21114608
sulfonamides, urea derivatives	rs12255372	17519421
sulfonamides, urea derivatives	rs587783672	22471336
rs3812718	fluorouracil	23752739
rs3812718	lamotrigine	21453355
rs1079598	clozapine	20714340
rs1079598	olanzapine	20714340
rs1079598	antipsychotics	20714340
rs11549467	pazopanib	21576632
trifluoperazine	rs762551	17611010
trifluoperazine	rs1415744	27092952
rs16973410	lithium	21961650
rs7912580	haloperidol	24751813
rs7912580	olanzapine	24751813
rs7912580	quetiapine	24751813
rs7912580	risperidone	24751813
rs7912580	ziprasidone	24751813
rs1876829	fluticasone propionate	22370858
rs363334	opioids	30983500
rs7754103	daunorubicin	26230641
rs7754103	doxorubicin	26230641
rs8450	hdl cholesterol	26644205
rs8450	glucose	26644205
rs9698290	risperidone	20415561
rs6877011	sunitinib	23511629;27896475
dulaglutide	rs4149056	36804920
rs55944529	methadone	34983973
eslicarbazepine acetate	rs144650170	33446525
eslicarbazepine acetate	rs35084477	33446525
eslicarbazepine acetate	rs186388618	33446525
eslicarbazepine acetate	rs1803155	33446525
eslicarbazepine acetate	rs140197497	33446525
eslicarbazepine acetate	rs61733692	33446525
rs4073010	dextromethorphan	38050015
rs74795342	lithium	26806518
lisinopril	rs11122576	25278896
lisinopril	rs12143842	25171760
lisinopril	rs1799722	12522467
lisinopril	rs4291	20577119
lisinopril	rs200148	25171760
lisinopril	rs35068180	21183746
rs1529927	bumetanide	17460608;20877298
rs1529927	furosemide	17460608;20877298
rs1529927	torasemide	17460608;20877298
rs3734254	docetaxel	20038957
rs3734254	thalidomide	20038957
rs139368788	capecitabine	28715540
rs1050891	aspirin	19178400
levofloxacin	rs2231142	23616064
levofloxacin	rs1045642	23616064
levofloxacin	rs1128503	23616064
levofloxacin	rs2032582	23616064
Anticholinergics	rs622342	20680652
rs61826952	ethanol	31090166
rs2298881	fluorouracil	28796378
rs2298881	Platinum compounds	28796378
rs2298881	radiotherapy	28796378
rs992160	gemcitabine	22838950
rs2227956	carbamazepine	16538175
Dihydropyridine derivatives	rs10494366	19076153
Dihydropyridine derivatives	rs877087	36134646
Dihydropyridine derivatives	rs776746	36134646
Dihydropyridine derivatives	rs1048101	36134646
Dihydropyridine derivatives	rs564991	36134646
rs3747178	ethosuximide	28165634
rs5522	enalapril	24059494
rs10878232	Platinum compounds	24980784
Methyldopa	rs3918242	21769110
Methyldopa	rs3742879	35971863
rs163182	fluorouracil	26115082
rs163182	oxaliplatin	26115082
rs163182	epirubicin	26115082
rs1808458	gemcitabine	22142827
olanzapine	rs7877	23147717
olanzapine	rs324420	20631561;23799528
olanzapine	rs951439	17588543
olanzapine	rs1801131	24725652
olanzapine	rs1801133	33858192
olanzapine	rs2266780	23147717
olanzapine	rs2842030	17588543
olanzapine	rs10789038	22305490
olanzapine	rs11240594	21107309
olanzapine	rs12720462	23147717
olanzapine	rs1880676	17503482
olanzapine	rs3810950	17503482
olanzapine	rs7912580	24751813
olanzapine	rs1695	23559402
olanzapine	rs5128	33378980
olanzapine	rs6265	24595507
olanzapine	rs6275	21095016
olanzapine	rs6279	21095016
olanzapine	rs1076560	25563748
olanzapine	rs1079598	20714340
olanzapine	rs1124493	21095016
olanzapine	rs1799978	16513877
olanzapine	rs2440390	22967772
olanzapine	rs2734841	21095016
olanzapine	rs2734842	21095016
olanzapine	rs4436578	20375926
olanzapine	rs5443	19193342
olanzapine	rs7973796	17541984
olanzapine	rs2412459	24751813
olanzapine	rs2472297	23492908
olanzapine	rs35694136	25090458
olanzapine	rs489693	23920449
olanzapine	rs11872992	22310352
olanzapine	rs17782313	22310352;23920449
olanzapine	rs10423928	21747410;25321336
olanzapine	rs11677416	21107309
olanzapine	rs13429709	24624910
olanzapine	rs324026	30886581
olanzapine	rs1801282	19622037
olanzapine	rs9852	23364847
olanzapine	rs61750900	21750471
olanzapine	rs10042486	22120873
olanzapine	rs11960832	23886675
olanzapine	rs806378	20107430;23799528
olanzapine	rs1415744	27092952
olanzapine	rs2247408	22920393
olanzapine	rs2268639	24624910
olanzapine	rs3819811	22920393
olanzapine	rs34059508	33378980
olanzapine	rs3842	33378980
olanzapine	rs221253	22920393
olanzapine	rs680055	25150845
olanzapine	rs2229109	29443543
olanzapine	rs2740574	23559402
olanzapine	rs4410790	23492908
olanzapine	rs4731426	18681781
olanzapine	rs4994	19193342
olanzapine	rs17070785	22920393
olanzapine	rs2228622	19884611
olanzapine	rs3780412	19884611
olanzapine	rs3780413	19884611
olanzapine	rs2497538	22967772
olanzapine	rs1799735	23559402
olanzapine	rs3888190	28694205
olanzapine	rs1000940	28694205
olanzapine	rs3766522	22305490
olanzapine	rs498207	20504252
olanzapine	rs2929183	20732371
olanzapine	rs12836771	29441581
olanzapine	rs6688363	23241943
olanzapine	rs10170310	23241943
olanzapine	rs36120609	23559402
olanzapine	rs155333	
olanzapine	rs6465938	
olanzapine	rs12610827	30886581
paromomycin	rs267606618	
paromomycin	rs267606619	15722487;19687236
paromomycin	rs267606617	10915767;12054632;12127547;19687236;21828074;9315872
rs9332096	warfarin	20653674
rs11541557	gefitinib	34629889
rs11541557	erlotinib	34629889
rs11541557	afatinib	34629889
rs10997242	antidepressants	27091189
CYP2C19 ultrarapid metabolizer	voriconazole	25558073;28923870
dextroamphetamine	rs4532	23952191
rs72549435	nicotine	19365400
rs1059288	aspirin	23736108
rs117532069	pegaspargase	26590194
